== default: 14 lines; by level:
      9 INFO
      5 WARN
-- lines (session and time columns kept):
2026-09-25T22:45:11.815Z +0.000s INFO  [app] session=a7f441bb start kabl-ui 0.1.0 (commit 99c28d30a08d) level=INFO log=target/signal-inspection-logging/default/logs/kabl.log
2026-09-25T22:45:11.815Z +0.001s INFO  [library] session=a7f441bb factory sounds: /home/user/kabl/patches; your sounds: target/signal-inspection-logging/default/sounds
2026-09-25T22:45:11.816Z +0.001s INFO  [midi] session=a7f441bb listening for MIDI on "kabl-pipe" (test pipe)
2026-09-25T22:45:11.816Z +0.001s INFO  [audio] session=a7f441bb backend=Alsa requested rate=Some(48000) frames=Some(256) rt=true
2026-09-25T22:45:11.828Z +0.013s INFO  [audio] session=a7f441bb device=Some("Default Audio Device") rate=48000 channels=2 buffer=Fixed(256)
2026-09-25T22:45:11.830Z +0.015s WARN  [winit::platform_impl::linux::x11::xdisplay] session=a7f441bb error setting XSETTINGS; Xft options won't reload automatically
2026-09-25T22:45:11.846Z +0.031s WARN  [winit::platform_impl::linux::x11::util::randr] session=a7f441bb XRandR reported that the display's 0mm in size, which is certifiably insane
2026-09-25T22:45:11.896Z +0.081s WARN  [audio] session=a7f441bb real-time priority refused: AudioThreadPriorityError: org.freedesktop.DBus.Error.FileNotFound:Failed to connect to socket /run/dbus/system_bus_socket: No such file or directory
2026-09-25T22:45:21.901Z +10.086s INFO  [audio.health] session=a7f441bb last 10.0s: xruns=0 late_executions=1 late_arrivals=89 callbacks=1890 worst_run_us=5342
2026-09-25T22:45:26.793Z +14.978s WARN  [doc] session=a7f441bb save-as failed error=io (injected failure at staged); edits kept
2026-09-25T22:45:29.204Z +17.389s INFO  [recorder] session=a7f441bb take started
2026-09-25T22:45:29.714Z +17.899s WARN  [recorder] session=a7f441bb take ended badly: recording failed after 0.5 s: injected write failure (KABL_RECORD_FAIL_AFTER), kept as target/signal-inspection-logging/default/recordings/kabl-20260925-224529Z-INCOMPLETE.wav
2026-09-25T22:45:37.562Z +25.747s INFO  [doc] session=a7f441bb open ok origin=factory:recipes/filter-movement editor=2
2026-09-25T22:45:40.304Z +28.490s INFO  [app] session=a7f441bb shutdown result=ok
