2026-09-25T22:42:29.594Z +0.000s INFO  [app] session=292bafc9 start kabl-ui 0.1.0 (commit 99c28d30a08d) level=DEBUG log=target/signal-inspection-r1/user/logs/kabl.log
2026-09-25T22:42:29.598Z +0.004s INFO  [library] session=292bafc9 factory sounds: /home/user/kabl/patches; your sounds: target/signal-inspection-r1/user/sounds
2026-09-25T22:42:29.601Z +0.007s INFO  [midi] session=292bafc9 listening for MIDI on "kabl-pipe" (test pipe)
2026-09-25T22:42:29.601Z +0.007s INFO  [audio] session=292bafc9 backend=Alsa requested rate=Some(48000) frames=Some(256) rt=true
2026-09-25T22:42:29.616Z +0.022s INFO  [audio] session=292bafc9 device=Some("Default Audio Device") rate=48000 channels=2 buffer=Fixed(256)
2026-09-25T22:42:29.619Z +0.025s WARN  [winit::platform_impl::linux::x11::xdisplay] session=292bafc9 error setting XSETTINGS; Xft options won't reload automatically
2026-09-25T22:42:29.639Z +0.044s WARN  [winit::platform_impl::linux::x11::util::randr] session=292bafc9 XRandR reported that the display's 0mm in size, which is certifiably insane
2026-09-25T22:42:29.709Z +0.114s WARN  [audio] session=292bafc9 real-time priority refused: AudioThreadPriorityError: org.freedesktop.DBus.Error.FileNotFound:Failed to connect to socket /run/dbus/system_bus_socket: No such file or directory
2026-09-25T22:42:36.969Z +7.375s DEBUG [inspect] session=292bafc9 select module=4 port=out
2026-09-25T22:42:39.716Z +10.122s INFO  [audio.health] session=292bafc9 last 10.0s: xruns=2 late_executions=0 late_arrivals=96 callbacks=1889 worst_run_us=5292
2026-09-25T22:42:41.801Z +12.207s DEBUG [graph] session=292bafc9 compiled generation=2 fresh=false modules=6 took_us=57
2026-09-25T22:42:41.819Z +12.225s DEBUG [graph] session=292bafc9 compiled generation=3 fresh=false modules=6 took_us=97
2026-09-25T22:42:41.837Z +12.243s DEBUG [graph] session=292bafc9 compiled generation=4 fresh=false modules=6 took_us=46
2026-09-25T22:42:41.859Z +12.264s DEBUG [graph] session=292bafc9 compiled generation=5 fresh=false modules=6 took_us=43
